fame,segment,name_ko,stock_code,market,sector,group,homepage,ceo,listed,done,note
high,listed,삼성전자,005930,KOSPI,통신 및 방송 장비 제조업,삼성,http://www.samsung.com/sec,"전영현, 노태문",1975-06-11,Y,
high,listed,SK하이닉스,000660,KOSPI,반도체 제조업,SK,http://www.skhynix.com,곽노정,1996-12-26,Y,
high,listed,SK스퀘어,402340,KOSPI,기타 금융업,SK,http://www.sksquare.com,김정규,2021-11-29,,
high,listed,삼성전기,009150,KOSPI,전자부품 제조업,삼성,http://www.sem.samsung.co.kr,장덕현,1979-02-27,Y,
high,listed,현대차,005380,KOSPI,자동차용 엔진 및 자동차 제조업,현대차,http://www.hyundai.com,"정의선, 무뇨스 바르셀로 호세 안토니오, 최영일(각자 대표이사)",1974-06-28,Y,
high,listed,LG에너지솔루션,373220,KOSPI,일차전지 및 이차전지 제조업,LG,,김동명,2022-01-27,Y,
high,listed,삼성생명,032830,KOSPI,보험업,삼성,http://www.samsunglife.com,홍원학,2010-05-12,Y,
high,listed,삼성물산,028260,KOSPI,기타 전문 도매업,삼성,http://www.samsungcnt.com,"오세철, 이재언, 송규종",2014-12-18,,
high,listed,HD현대중공업,329180,KOSPI,선박 및 보트 건조업,HD현대,http://www.hhi.co.kr,"이상균, 금석호 (각자 대표이사)",2021-09-17,,
high,listed,기아,000270,KOSPI,자동차용 엔진 및 자동차 제조업,현대차,http://www.kia.co.kr,송호성,1973-07-21,Y,
high,listed,삼성바이오로직스,207940,KOSPI,기초 의약물질 제조업,삼성,http://www.samsungbiologics.com,임존종보 (Rim John Chongbo),2016-11-10,,
high,listed,두산에너빌리티,034020,KOSPI,일반 목적용 기계 제조업,두산,https://www.doosanenerbility.com/kr,"박지원, 정연인, 박상현",2000-10-25,Y,
high,listed,KB금융,105560,KOSPI,기타 금융업,KB금융,http://www.kbfg.com,양종희,2008-10-10,Y,
high,listed,한화에어로스페이스,012450,KOSPI,"항공기,우주선 및 부품 제조업",한화,http://www.hanwhaaerospace.com,"김동관, 손재일",1987-05-27,Y,
high,listed,현대모비스,012330,KOSPI,자동차 신품 부품 제조업,현대차,http://www.mobis.com,"정의선, 이규석",1989-09-05,Y,
